Sub_region	Depth_sizefrac	ERR_count	ERR_list	Assembly_group
MS-all	SRF-180-2000.00	15	ERR1726574, ERR1726612, ERR1726662, ERR1726681, ERR1726748, ERR1726759, ERR1726786, ERR1726787, ERR1726802, ERR1726810, ERR1726879, ERR1726887, ERR1726953, ERR538180, ERR538185	MS-all-SRF-180-2000.00
NPO-all	SRF-0.8-5.00	20	ERR1726576, ERR1726730, ERR1726807, ERR1726816, ERR1726864, ERR1726884, ERR1726914, ERR1726933, ERR1726955, ERR868347, ERR868374, ERR868378, ERR868390, ERR868420, ERR868433, ERR868441, ERR868477, ERR868480, ERR868485, ERR868500	NPO-all-SRF-0.8-5.00
NPO-all	SRF-20-180.00	13	ERR1726580, ERR1726621, ERR1726661, ERR1726687, ERR1726692, ERR1726750, ERR1726788, ERR1726801, ERR1726872, ERR1726873, ERR1726894, ERR1726948, ERR1726967	NPO-all-SRF-20-180.00
NAO-all	SRF-20-180.00	11	ERR1726581, ERR1726625, ERR1726635, ERR1726720, ERR1726737, ERR1726744, ERR1726757, ERR1726768, ERR1726860, ERR1726867, ERR1726971	NAO-all-SRF-20-180.00
NAO-all	SRF-0.8-5.00	20	ERR1726589, ERR1726676, ERR1726679, ERR1726693, ERR1726817, ERR1726835, ERR1726863, ERR1726980, ERR868351, ERR868354, ERR868366, ERR868369, ERR868392, ERR868395, ERR868411, ERR868421, ERR868430, ERR868445, ERR868459, ERR873964	NAO-all-SRF-0.8-5.00
NAO-all	DCM-0.8-5.00	8	ERR1726596, ERR868367, ERR868423, ERR868435, ERR868437, ERR868509, ERR868510, ERR868511	NAO-all-DCM-0.8-5.00
MS-all	SRF-0.8-5.00	14	ERR1726597, ERR538173, ERR538186, ERR868356, ERR868389, ERR868393, ERR868402, ERR868403, ERR868407, ERR868412, ERR868431, ERR868456, ERR868497, ERR868504	MS-all-SRF-0.8-5.00
SAO-all	DCM-20-180.00	8	ERR1726607, ERR1726706, ERR1726758, ERR1726950, ERR599209, ERR599262, ERR599292, ERR599333	SAO-all-DCM-20-180.00
NAO-all	DCM-180-2000.00	4	ERR1726617, ERR1726783, ERR1726824, ERR1726957	NAO-all-DCM-180-2000.00
NAO-all	MIX-0.8-5.00	9	ERR1726629, ERR1726707, ERR1726761, ERR1726821, ERR1726919, ERR1726972, ERR868375, ERR868410, ERR868429	NAO-all-MIX-0.8-5.00
IO-all	DCM-0.8-5.00	13	ERR1726633, ERR1726897, ERR599323, ERR599324, ERR599328, ERR868350, ERR868370, ERR868383, ERR868400, ERR868409, ERR868414, ERR868454, ERR868487	IO-all-DCM-0.8-5.00
SAO-all	SRF-20-180.00	14	ERR1726636, ERR1726663, ERR1726731, ERR1726853, ERR1726899, ERR1726937, ERR599256, ERR599258, ERR599263, ERR599269, ERR599301, ERR599304, ERR599306, ERR599326	SAO-all-SRF-20-180.00
NAO-all	MIX-20-180.00	3	ERR1726653, ERR1726803, ERR1726947	NAO-all-MIX-20-180.00
SAO-all	SRF-180-2000.00	13	ERR1726678, ERR1726689, ERR1726819, ERR1726928, ERR1726958, ERR599234, ERR599243, ERR599245, ERR599255, ERR599277, ERR599286, ERR599313, ERR599336	SAO-all-SRF-180-2000.00
SAO-all	DCM-0.8-5.00	40	ERR1726682, ERR1726701, ERR1726704, ERR1726793, ERR1726829, ERR1726833, ERR1726866, ERR1726875, ERR1726898, ERR1740324, ERR599219, ERR599233, ERR599235, ERR599236, ERR599240, ERR599242, ERR599251, ERR599252, ERR599271, ERR599272, ERR599273, ERR599274, ERR599275, ERR599284, ERR599285, ERR599289, ERR599290, ERR599300, ERR599307, ERR599308, ERR599315, ERR599316, ERR599318, ERR599319, ERR599322, ERR599327, ERR599330, ERR599334, ERR868461, ERR868483	SAO-all-DCM-0.8-5.00
SO-all	SRF-180-2000.00	4	ERR1726683, ERR1726774, ERR599214, ERR599291	SO-all-SRF-180-2000.00
RS-all	SRF-180-2000.00	5	ERR1726711, ERR1726752, ERR1726840, ERR1726917, ERR1726926	RS-all-SRF-180-2000.00
MS-all	DCM-20-180.00	7	ERR1726743, ERR1726811, ERR1726836, ERR1726855, ERR1726965, ERR538176, ERR538177	MS-all-DCM-20-180.00
RS-all	SRF-20-180.00	6	ERR1726751, ERR1726777, ERR1726838, ERR1726902, ERR1726918, ERR1726942	RS-all-SRF-20-180.00
SO-all	SRF-20-180.00	5	ERR1726781, ERR1726799, ERR1726901, ERR599264, ERR599283	SO-all-SRF-20-180.00
SO-all	DCM-180-2000.00	2	ERR1726812, ERR599310	SO-all-DCM-180-2000.00
NPO-all	MES-0.8-5.00	9	ERR1726869, ERR868384, ERR868467, ERR868470, ERR868490, ERR868506, ERR868512, ERR873960, ERR873967	NPO-all-MES-0.8-5.00
RS-all	DCM-5-20.00	1	ERR1726910	RS-all-DCM-5-20.00
SO-all	SRF-5-20.00	4	ERR1726939, ERR1726968, ERR599224, ERR599228	SO-all-SRF-5-20.00
SO-all	SRF-0.8-5.00	7	ERR1740325, ERR599254, ERR599270, ERR599281, ERR599335, ERR868376, ERR868394	SO-all-SRF-0.8-5.00
SO-all	DCM-5-20.00	2	ERR1740327, ERR599206	SO-all-DCM-5-20.00
MS-all	DCM-0.8-5.00	10	ERR538175, ERR538179, ERR538182, ERR868373, ERR868418, ERR868448, ERR868473, ERR868482, ERR868488, ERR868496	MS-all-DCM-0.8-5.00
SAO-all	MES-0.8-5.00	10	ERR599207, ERR599211, ERR599213, ERR599216, ERR599220, ERR599230, ERR599246, ERR599248, ERR599260, ERR599278	SAO-all-MES-0.8-5.00
IO-all	MES-0.8-5.00	8	ERR599212, ERR599225, ERR599268, ERR868353, ERR868455, ERR868468, ERR873962, ERR873969	IO-all-MES-0.8-5.00
SO-all	MES-0.8-5.00	2	ERR599217, ERR599227	SO-all-MES-0.8-5.00
SO-all	DCM-0.8-5.00	3	ERR599239, ERR599325, ERR868361	SO-all-DCM-0.8-5.00
SO-all	DCM-20-180.00	1	ERR599288	SO-all-DCM-20-180.00
RS-all	DCM-0.8-5.00	2	ERR868348, ERR868439	RS-all-DCM-0.8-5.00
NAO-all	MES-0.8-5.00	9	ERR868349, ERR868380, ERR868434, ERR868449, ERR868451, ERR868474, ERR868479, ERR868495, ERR873965	NAO-all-MES-0.8-5.00
IO-all	FSW-0.8-5.00	2	ERR868368, ERR868484	IO-all-FSW-0.8-5.00
RS-all	SRF-0.8-5.00	4	ERR868401, ERR868460, ERR868463, ERR868471	RS-all-SRF-0.8-5.00
SPO-SPSG	DCM-5-20.00	9	ERR1700897, ERR1700903, ERR1700905, ERR1726668, ERR1726717, ERR1726771, ERR1726773, ERR1726815, ERR1726959	SPO-SPSG-DCM-5-20.00
SPO-CHIL	DCM-5-20.00	2	ERR1700901, ERR1726828	SPO-CHIL-DCM-5-20.00
SPO-PEOD	DCM-180-2000.00	2	ERR1700911, ERR1726962	SPO-PEOD-DCM-180-2000.00
SPO-SPSG	SRF-5-20.00	18	ERR1726522, ERR1726533, ERR1726535, ERR1726571, ERR1726688, ERR1726691, ERR1726708, ERR1726732, ERR1726735, ERR1726779, ERR1726822, ERR1726865, ERR1726890, ERR1726896, ERR1726912, ERR1726938, ERR1726943, ERR1726961	SPO-SPSG-SRF-5-20.00
SPO-CHIL	SRF-20-180.00	4	ERR1726524, ERR1726525, ERR1726850, ERR1726952	SPO-CHIL-SRF-20-180.00
SPO-SPSG	DCM-0.8-5.00	19	ERR1726527, ERR1726579, ERR1726584, ERR1726609, ERR1726631, ERR868364, ERR868381, ERR868415, ERR868419, ERR868424, ERR868425, ERR868432, ERR868438, ERR868446, ERR868453, ERR868457, ERR868465, ERR873961, ERR873966	SPO-SPSG-DCM-0.8-5.00
SPO-SPSG	SRF-20-180.00	25	ERR1726528, ERR1726544, ERR1726558, ERR1726588, ERR1726592, ERR1726598, ERR1726601, ERR1726605, ERR1726615, ERR1726622, ERR1726639, ERR1726666, ERR1726670, ERR1726695, ERR1726721, ERR1726755, ERR1726785, ERR1726834, ERR1726857, ERR1726892, ERR1726903, ERR1726927, ERR1726932, ERR1726963, ERR1726970	SPO-SPSG-SRF-20-180.00
