Sub_region	Depth_sizefrac	ERR_count	ERR_list	Assembly_group
NAO-all	MIX-180-2000.00	3	ERR1719339, ERR1719341, ERR1719500	NAO-all-MIX-180-2000.00
SO-all	DCM-180-2000.00	2	ERR1740134, ERR1740137	SO-all-DCM-180-2000.00
SPO-PEOD	DCM-5-20.00	4	ERR1711862, ERR1711982, ERR1712003, ERR1712176	SPO-PEOD-DCM-5-20.00
SPO-PEOD	DCM-180-2000.00	4	ERR1711867, ERR1711875, ERR1711942, ERR1712101	SPO-PEOD-DCM-180-2000.00
SPO-SPSG	SRF-0.8-5.00	34	ERR1711869, ERR1711886, ERR1711904, ERR1711937, ERR1711985, ERR1712078, ERR1712118, ERR1712134, ERR1712182, ERR1719156, ERR1719159, ERR1719160, ERR1719161, ERR1719191, ERR1719194, ERR1719207, ERR1719213, ERR1719214, ERR1719217, ERR1719236, ERR1719256, ERR1719298, ERR1719301, ERR1719310, ERR1719316, ERR1719388, ERR1719389, ERR1719393, ERR1719395, ERR1719404, ERR1719428, ERR1719448, ERR1719459, ERR1719463	SPO-SPSG-SRF-0.8-5.00
SPO-SPSG	SRF-5-20.00	17	ERR1711879, ERR1711882, ERR1711897, ERR1711933, ERR1711941, ERR1711999, ERR1712115, ERR1712177, ERR1712207, ERR1719145, ERR1719254, ERR1719293, ERR1719343, ERR1719356, ERR1719401, ERR1719413, ERR1719437	SPO-SPSG-SRF-5-20.00
SPO-SPSG	SRF-20-180.00	18	ERR1711884, ERR1711923, ERR1711949, ERR1711986, ERR1711992, ERR1712069, ERR1712102, ERR1712155, ERR1712197, ERR1712214, ERR1712241, ERR1719170, ERR1719297, ERR1719307, ERR1719410, ERR1719433, ERR1719445, ERR1719492	SPO-SPSG-SRF-20-180.00
SPO-SPSG	DCM-5-20.00	6	ERR1711885, ERR1711974, ERR1712108, ERR1712147, ERR1739845, ERR1739849	SPO-SPSG-DCM-5-20.00
SPO-SPSG	MES-0.8-5.00	2	ERR1711900, ERR1711964	SPO-SPSG-MES-0.8-5.00
SPO-PEOD	DCM-20-180.00	4	ERR1711902, ERR1711983, ERR1712095, ERR1712152	SPO-PEOD-DCM-20-180.00
SPO-SPSG	SRF-180-2000.00	20	ERR1711914, ERR1711917, ERR1711929, ERR1711951, ERR1711954, ERR1712081, ERR1712219, ERR1719175, ERR1719184, ERR1719204, ERR1719249, ERR1719295, ERR1719365, ERR1719368, ERR1719381, ERR1719385, ERR1719391, ERR1719403, ERR1719447, ERR1719462	SPO-SPSG-SRF-180-2000.00
SPO-CHIL	SRF-0.8-5.00	8	ERR1711938, ERR1711965, ERR1712009, ERR1712103, ERR1719223, ERR1719276, ERR1719329, ERR1719503	SPO-CHIL-SRF-0.8-5.00
SPO-PEOD	SRF-20-180.00	4	ERR1711952, ERR1712067, ERR1719232, ERR1719438	SPO-PEOD-SRF-20-180.00
SPO-SPSG	DCM-0.8-5.00	18	ERR1711958, ERR1711961, ERR1711977, ERR1712025, ERR1712068, ERR1712093, ERR1712104, ERR1712124, ERR1712144, ERR1712201, ERR1712224, ERR1712225, ERR1719262, ERR1719355, ERR1739847, ERR1739848, ERR1740118, ERR1740132	SPO-SPSG-DCM-0.8-5.00
SPO-PEOD	SRF-180-2000.00	4	ERR1711989, ERR1712175, ERR1719308, ERR1719312	SPO-PEOD-SRF-180-2000.00
SPO-CHIL	DCM-5-20.00	1	ERR1712013	SPO-CHIL-DCM-5-20.00
SPO-PEOD	SRF-5-20.00	4	ERR1712157, ERR1712174, ERR1719279, ERR1719396	SPO-PEOD-SRF-5-20.00
SPO-PEOD	DCM-0.8-5.00	8	ERR1719146, ERR1719321, ERR1719324, ERR1719332, ERR1719333, ERR1719380, ERR1719420, ERR1719439	SPO-PEOD-DCM-0.8-5.00
SPO-PEOD	SRF-0.8-5.00	9	ERR1719172, ERR1719243, ERR1719311, ERR1719327, ERR1719364, ERR1719375, ERR1719405, ERR1719443, ERR1719515	SPO-PEOD-SRF-0.8-5.00
SPO-SPSG	DCM-180-2000.00	7	ERR1719187, ERR1719219, ERR1719290, ERR1719347, ERR1719358, ERR1740131, ERR1740140	SPO-SPSG-DCM-180-2000.00
SPO-CHIL	SRF-20-180.00	4	ERR1719206, ERR1719360, ERR1719468, ERR1719477	SPO-CHIL-SRF-20-180.00
SPO-SPSG	DCM-20-180.00	6	ERR1719211, ERR1719412, ERR1719479, ERR1719510, ERR1739836, ERR1739837	SPO-SPSG-DCM-20-180.00
SPO-CHIL	SRF-180-2000.00	4	ERR1719212, ERR1719320, ERR1719354, ERR1719457	SPO-CHIL-SRF-180-2000.00
SPO-CHIL	SRF-5-20.00	4	ERR1719215, ERR1719317, ERR1719444, ERR1719513	SPO-CHIL-SRF-5-20.00
SPO-CHIL	DCM-180-2000.00	2	ERR1719250, ERR1719496	SPO-CHIL-DCM-180-2000.00
SPO-CHIL	DCM-0.8-5.00	2	ERR1719265, ERR1719386	SPO-CHIL-DCM-0.8-5.00
